catagery_name,subcatagery_link,subcatagery_name,subcatofcat_link,subcatofcat_name
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/range-fabric/8-piece-open-sectional-double-lounger-with-corner-table?sku=FLRST-SLT-RG-S6-A0-C2-SG-LW-OK,U Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/range-fabric/6-piece-sectional-double-lounger?sku=FLRST-SF-RG-S4-A2-C2-HC-BM,U Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/field-leather/2-piece-sofa?sku=FLRST-SF-FDL-S2-A2-C0-TN-DW,Loveseats
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/field-leather/3-piece-sectional-lounger?sku=FLRST-SF-FDL-S2-A2-C1-TN-DW,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-5-piece-sectional-cover?sku=OSTCV-SL-DN-CUR-KVR-S5,Seating Covers
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-6-piece-sectional-cover-right?sku=OSTCV-SLR-DN-CUR-KVR-S6,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-fabric/7-seat-u-sectional?sku=NSU-CG-7-LO-DW,U Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-leather/8-piece-u-sectional?sku=FLRST-SU-FDL-S8-A2-C0-TN-LW,U Sectionals
Seating,https://burrow.com/living-room/seating,All Seating,https://burrow.com/field-leather/3-piece-sectional-lounger?sku=FLRST-SF-FDL-S2-A2-C1-TN-DW&ottoman-add-on=FLRST-OT-FDL-S0-A0-C1,Loveseats
Outdoor,https://burrow.com/outdoor/collections#rugs,Outdoor Rugs,https://burrow.com/outdoor/seating/dunes-6-piece-sectional-cover-left?sku=OSTCV-SLL-DN-CUR-KVR-S6,Seating Covers
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/field-leather/8-piece-open-u-sectional-double-lounger?sku=FLRST-SU-FDL-S6-A0-C2-TN-LW,U Sectionals
Seating,https://burrow.com/living-room/seating/sectionals,Sectional Sofas,https://burrow.com/nomad-fabric/sofa-sectional?sku=NSC-CG-3-MD-DW,Modular Sectionals
